time vel_channel vel_finger vel_lid reacted flux_finger_advection flux_finger_diffusion flux_inlet_advection flux_inlet_diffusion flux_outlet_advection mass_total mass_finger
1000 0.000133056 2.9909e-07 3.20494e-06 0 0 0 0 0 0 1147 0
2000 0.000192192 3.61984e-07 5.18979e-06 0 0 0 0 0 0 1147 0
3000 0.000239067 3.44828e-07 6.70121e-06 0 0 0 0 0 0 1147 0
4000 0.00027957 3.50399e-07 7.98849e-06 0 0 0 0 0 0 1147 0
5000 0.000315986 3.6757e-07 9.1118e-06 0 0 0 0 0 0 1147 0
6000 0.000349488 3.96173e-07 1.01239e-05 0.00615605 4.22612e-05 0.135498 0.387082 9.2684 0 19474 129.261
7000 0.000380771 4.36862e-07 1.10498e-05 0.00914265 6.11724e-05 0.141414 0.427155 6.5307 6.14586e-206 27562.4 264.455
8000 0.000410293 4.74873e-07 1.19102e-05 0.011437 7.32194e-05 0.14452 0.462781 5.30933 1.99704e-138 33873.2 400.003
9000 0.000438368 5.06829e-07 1.27178e-05 0.0134615 8.14025e-05 0.146648 0.496002 4.57726 5.79181e-104 39274.6 535.324
10000 0.000465228 5.39227e-07 1.34794e-05 0.0154011 8.74492e-05 0.148303 0.527491 4.0751 5.64895e-83 44102.2 670.134
11000 0.000491047 5.69558e-07 1.42037e-05 0.0173326 9.21077e-05 0.149695 0.557602 3.70254 7.45483e-69 48528 804.235
12000 0.00051596 5.99335e-07 1.4895e-05 0.0192812 9.58897e-05 0.150926 0.586562 3.41154 1.03427e-58 52653.5 937.484
13000 0.000540076 6.28737e-07 1.55577e-05 0.0212501 9.91083e-05 0.152052 0.614532 3.17581 4.44271e-51 56545.1 1069.78
14000 0.000563483 6.57202e-07 1.61949e-05 0.0232349 0.000101934 0.153103 0.641636 2.97958 3.95718e-45 60248.3 1201.03
15000 0.000586253 6.84652e-07 1.68094e-05 0.0252289 0.000104493 0.154099 0.667971 2.81275 2.31021e-40 63796.6 1331.2
16000 0.000608445 7.11311e-07 1.74035e-05 0.0272261 0.000106848 0.155051 0.693615 2.66852 1.8471e-36 67214.8 1460.24
17000 0.000630113 7.37191e-07 1.79791e-05 0.0292214 0.000109055 0.155967 0.718635 2.5421 3.3133e-33 70522.4 1588.14
18000 0.000651299 7.62416e-07 1.85379e-05 0.0312108 0.000111146 0.156853 0.743084 2.43001 1.87882e-30 73734.8 1714.85
19000 0.000672042 7.87003e-07 1.90812e-05 0.0331915 0.000113141 0.157713 0.767009 2.32967 4.30548e-28 76864.2 1840.39
20000 0.000692374 8.11e-07 1.96102e-05 0.0351611 0.000115059 0.15855 0.790452 2.2391 4.77582e-26 79921 1964.74
21000 0.000712324 8.34445e-07 2.0126e-05 0.0371181 0.00011691 0.159368 0.813448 2.15678 2.93661e-24 82913.7 2087.89
22000 0.000731919 8.57358e-07 2.06296e-05 0.0390612 0.000118704 0.160168 0.836027 2.08147 1.11046e-22 85849.3 2209.86
23000 0.000751181 8.79787e-07 2.11218e-05 0.0409896 0.000120448 0.160953 0.858216 2.0122 2.79974e-21 88733.9 2330.63
24000 0.00077013 9.01756e-07 2.16033e-05 0.0429027 0.000122146 0.161724 0.880041 1.94819 5.01685e-20 91573 2450.21
25000 0.000788785 9.23293e-07 2.20748e-05 0.0447999 0.000123804 0.162482 0.901522 1.88877 6.7243e-19 94370.9 2568.62
26000 0.000807161 9.44422e-07 2.25369e-05 0.0466809 0.000125425 0.163229 0.92268 1.83341 7.0267e-18 97131.7 2685.85
27000 0.000825275 9.65165e-07 2.29901e-05 0.0485456 0.000127012 0.163967 0.943532 1.78164 5.92198e-17 99858.9 2801.92
28000 0.000843139 9.85541e-07 2.34349e-05 0.0503937 0.000128566 0.164696 0.964094 1.73307 4.13961e-16 102556 2916.83
29000 0.000860766 1.00557e-06 2.38719e-05 0.0522253 0.000130092 0.165417 0.984381 1.68739 2.45682e-15 105224 3030.6
30000 0.000878167 1.02527e-06 2.43013e-05 0.0540402 0.00013159 0.166131 1.00441 1.6443 1.2625e-14 107868 3143.23
31000 0.000895353 1.04465e-06 2.47236e-05 0.0558385 0.000133062 0.166839 1.02418 1.60356 5.71139e-14 110488 3254.74
32000 0.000912333 1.06373e-06 2.5139e-05 0.0576202 0.000134509 0.16754 1.04372 1.56495 2.30704e-13 113088 3365.15
33000 0.000929117 1.08253e-06 2.5548e-05 0.0593855 0.000135934 0.168237 1.06303 1.52829 8.42244e-13 115668 3474.45
34000 0.000945711 1.10105e-06 2.59509e-05 0.0611345 0.000137336 0.168929 1.08212 1.49342 2.80823e-12 118230 3582.67
35000 0.000962125 1.11931e-06 2.63478e-05 0.0628672 0.000138717 0.169617 1.101 1.46018 8.62935e-12 120777 3689.82
36000 0.000978365 1.13732e-06 2.6739e-05 0.0645838 0.000140078 0.170301 1.11968 1.42845 2.46322e-11 123308 3795.91
37000 0.000994437 1.15508e-06 2.71248e-05 0.0662845 0.000141421 0.170981 1.13816 1.39812 6.57671e-11 125826 3900.96
38000 0.00101035 1.17261e-06 2.75055e-05 0.0679695 0.000142744 0.171659 1.15646 1.36908 1.65247e-10 128332 4004.98
39000 0.0010261 1.18992e-06 2.78811e-05 0.0696388 0.000144051 0.172333 1.17458 1.34124 3.92831e-10 130826 4107.97
40000 0.00104171 1.20701e-06 2.82519e-05 0.0712927 0.00014534 0.173004 1.19253 1.31452 8.8774e-10 133310 4209.97
41000 0.00105717 1.2239e-06 2.86181e-05 0.0729314 0.000146614 0.173673 1.21031 1.28884 1.91517e-09 135785 4310.97
42000 0.00107249 1.24058e-06 2.89798e-05 0.074555 0.000147872 0.17434 1.22793 1.26414 3.95919e-09 138251 4410.99
43000 0.00108768 1.25708e-06 2.93373e-05 0.0761638 0.000149114 0.175004 1.24539 1.24034 7.86944e-09 140709 4510.05
44000 0.00110273 1.27338e-06 2.96905e-05 0.0777579 0.000150343 0.175667 1.2627 1.21741 1.50846e-08 143161 4608.16
