time vel_channel vel_finger vel_lid reacted flux_finger_advection flux_finger_diffusion flux_inlet_advection flux_inlet_diffusion flux_outlet_advection mass_total mass_finger
100 4.03268e-05 4.4035e-08 8.13753e-08 0 0 0 0 0 0 1147 0
200 5.76357e-05 1.71861e-08 1.11881e-07 0 0 0 0 0 0 1147 0
300 7.10506e-05 1.68426e-08 1.35079e-07 0 0 0 0 0 0 1147 0
400 8.24583e-05 1.53902e-08 1.54369e-07 0 0 0 0 0 0 1147 0
500 9.25853e-05 1.27062e-08 1.71602e-07 0 0 0 0 0 0 1147 0
600 0.000101803 1.44333e-08 1.87429e-07 0 0 0 0 0 0 1147 0
700 0.000110332 1.41786e-08 2.01997e-07 0 0 0 0 0 0 1147 0
800 0.000118316 1.54146e-08 2.15485e-07 0 0 0 0 0 0 1147 0
900 0.000125855 1.60908e-08 2.2815e-07 0 0 0 0 0 0 1147 0
1000 0.000133021 1.68927e-08 2.40186e-07 0 0 0 0 0 0 1147 0
1100 0.000139868 1.7734e-08 2.51673e-07 0 0 0 0 0 0 1147 0
1200 0.000146439 1.85003e-08 2.62648e-07 0 0 0 0 0 0 1147 0
1300 0.000152769 1.92961e-08 2.73163e-07 0 0 0 0 0 0 1147 0
1400 0.000158883 2.0039e-08 2.83285e-07 0 0 0 0 0 0 1147 0
1500 0.000164806 2.07716e-08 2.93064e-07 0 0 0 0 0 0 1147 0
1600 0.000170555 2.14783e-08 3.0253e-07 0 0 0 0 0 0 1147 0
1700 0.000176148 2.21647e-08 3.11706e-07 0 0 0 0 0 0 1147 0
1800 0.000181596 2.28335e-08 3.20615e-07 0 0 0 0 0 0 1147 0
1900 0.000186913 2.34842e-08 3.29281e-07 0 0 0 0 0 0 1147 0
2000 0.000192108 2.41189e-08 3.37726e-07 0 0 0 0 0 0 1147 0
2100 0.000197191 2.47385e-08 3.45965e-07 0 0 0 0 0 0 1147 0
2200 0.000202169 2.53439e-08 3.5401e-07 0 0 0 0 0 0 1147 0
2300 0.000207049 2.59362e-08 3.61875e-07 0 0 0 0 0 0 1147 0
2400 0.000211838 2.6516e-08 3.69572e-07 0 0 0 0 0 0 1147 0
2500 0.000216541 2.70841e-08 3.77112e-07 0 0 0 0 0 0 1147 0
2600 0.000221163 2.76413e-08 3.84503e-07 0 0 0 0 0 0 1147 0
2700 0.000225709 2.81881e-08 3.91754e-07 0 0 0 0 0 0 1147 0
2800 0.000230184 2.87251e-08 3.98872e-07 0 0 0 0 0 0 1147 0
2900 0.00023459 2.92528e-08 4.05865e-07 0 0 0 0 0 0 1147 0
3000 0.000238931 2.97716e-08 4.12738e-07 0 0 0 0 0 0 1147 0
3100 0.000243211 3.0282e-08 4.19499e-07 0 0 0 0 0 0 1147 0
3200 0.000247433 3.07843e-08 4.26152e-07 0 0 0 0 0 0 1147 0
3300 0.000251598 3.1279e-08 4.32702e-07 0 0 0 0 0 0 1147 0
3400 0.00025571 3.17664e-08 4.39154e-07 0 0 0 0 0 0 1147 0
3500 0.000259771 3.22469e-08 4.45512e-07 0 0 0 0 0 0 1147 0
3600 0.000263784 3.27206e-08 4.5178e-07 0 0 0 0 0 0 1147 0
3700 0.000267749 3.31878e-08 4.57962e-07 0 0 0 0 0 0 1147 0
3800 0.000271669 3.36489e-08 4.64061e-07 0 0 0 0 0 0 1147 0
3900 0.000275546 3.41041e-08 4.70081e-07 0 0 0 0 0 0 1147 0
4000 0.000279382 3.45535e-08 4.76024e-07 0 0 0 0 0 0 1147 0
4100 0.000283177 3.49974e-08 4.81894e-07 0 0 0 0 0 0 1147 0
4200 0.000286934 3.5436e-08 4.87693e-07 0 0 0 0 0 0 1147 0
4300 0.000290653 3.58695e-08 4.93423e-07 0 0 0 0 0 0 1147 0
4400 0.000294337 3.62981e-08 4.99087e-07 0 0 0 0 0 0 1147 0
4500 0.000297985 3.67218e-08 5.04687e-07 0 0 0 0 0 0 1147 0
4600 0.0003016 3.7141e-08 5.10226e-07 0 0 0 0 0 0 1147 0
4700 0.000305182 3.75556e-08 5.15705e-07 0 0 0 0 0 0 1147 0
4800 0.000308733 3.7966e-08 5.21126e-07 0 0 0 0 0 0 1147 0
4900 0.000312253 3.83721e-08 5.26491e-07 0 0 0 0 0 0 1147 0
5000 0.000315744 3.87742e-08 5.31801e-07 0 0 0 0 0 0 1147 0
5100 0.000319206 3.91723e-08 5.37059e-07 4.40182e-08 7.79171e-11 1.12557e-05 0.318855 28.5744 0 6406.84 0.00028376
5200 0.000322639 3.95666e-08 5.42266e-07 5.15283e-06 6.28842e-09 0.000684018 0.337281 20.494 0 8872.24 0.0377077
5300 0.000326046 3.99571e-08 5.47423e-07 3.16935e-05 3.16543e-08 0.00292511 0.347571 16.794 0 10772.1 0.271012
5400 0.000329426 4.03441e-08 5.52531e-07 8.72463e-05 7.3974e-08 0.00621526 0.355222 14.5604 0 12378.2 0.842293
5500 0.000332781 4.07275e-08 5.57593e-07 0.000171417 1.24563e-07 0.00989005 0.361624 13.0257 0 13796.5 1.80529
5600 0.00033611 4.11074e-08 5.62609e-07 0.000282444 1.76654e-07 0.0135598 0.367312 11.8881 0 15081.2 3.15907
5700 0.000339415 4.14841e-08 5.6758e-07 0.000418524 2.26376e-07 0.0170344 0.372545 11.0014 0 16264.9 4.87757
5800 0.000342697 4.18574e-08 5.72508e-07 0.00057776 2.71905e-07 0.0202348 0.377461 10.2851 0 17368.5 6.92523
5900 0.000345955 4.22276e-08 5.77394e-07 0.000758132 3.12621e-07 0.0231391 0.382146 9.69085 0 18406.8 9.26459
6000 0.000349191 4.25947e-08 5.82239e-07 0.000957572 3.4854e-07 0.0257541 0.386653 9.18755 0 19390.4 11.8598
6100 0.000352404 4.29588e-08 5.87043e-07 0.00117405 3.79989e-07 0.0280995 0.391018 8.75414 0 20327.3 14.678
6200 0.000355597 4.332e-08 5.91809e-07 0.00140565 4.07421e-07 0.0302004 0.395269 8.3758 3.31914e-309 21224 17.6899
6300 0.000358768 4.36783e-08 5.96536e-07 0.00165061 4.31316e-07 0.0320825 0.399422 8.0418 4.24108e-284 22085.2 20.8696
6400 0.000361919 4.40337e-08 6.01226e-07 0.0019073 4.5214e-07 0.0337709 0.403493 7.74409 2.59953e-263 22915.2 24.1946
6500 0.00036505 4.43865e-08 6.05879e-07 0.0021743 4.70316e-07 0.0352884 0.407493 7.47655 1.14892e-245 23717.2 27.645
6600 0.000368161 4.47365e-08 6.10497e-07 0.00245032 4.8622e-07 0.0366558 0.411428 7.23439 2.03603e-230 24494 31.2039
6700 0.000371253 4.5084e-08 6.1508e-07 0.00273422 5.00182e-07 0.0378915 0.415307 7.01385 4.637e-217 25247.9 34.8561
6800 0.000374327 4.54288e-08 6.19629e-07 0.003025 5.12486e-07 0.0390119 0.419135 6.81187 3.11689e-205 25981 38.589
