time vel_channel vel_finger vel_lid reacted flux_finger_advection flux_finger_diffusion flux_inlet_advection flux_inlet_diffusion flux_outlet_advection mass_total mass_finger
41000 0.00105483 1.12452e-07 1.44879e-06 0.0495263 7.26336e-07 0.0618372 1.20747 1.24892 1.91517e-09 132939 613.967
42000 0.00107009 1.13832e-07 1.46629e-06 0.0504559 7.34057e-07 0.0625503 1.22501 1.22499 3.95919e-09 135341 625.374
43000 0.00108522 1.15195e-07 1.48358e-06 0.051367 7.41687e-07 0.0632548 1.24241 1.20196 7.86944e-09 137737 636.553
44000 0.00110022 1.16543e-07 1.50067e-06 0.0522604 7.49229e-07 0.0639509 1.25965 1.17976 1.50846e-08 140126 647.515
45000 0.00111508 1.17875e-07 1.51757e-06 0.0531368 7.56686e-07 0.0646391 1.27674 1.15835 2.79614e-08 142510 658.27
46000 0.00112983 1.19193e-07 1.53428e-06 0.0539969 7.64061e-07 0.0653196 1.2937 1.13768 5.0244e-08 144889 668.826
47000 0.00114445 1.20497e-07 1.55081e-06 0.0548415 7.71358e-07 0.0659926 1.31051 1.1177 8.77153e-08 147264 679.192
48000 0.00115896 1.21786e-07 1.56717e-06 0.0556712 7.78578e-07 0.0666584 1.32719 1.09838 1.49076e-07 149635 689.375
49000 0.00117335 1.23063e-07 1.58336e-06 0.0564866 7.85722e-07 0.0673172 1.34374 1.07969 2.47102e-07 152003 699.385
50000 0.00118764 1.24326e-07 1.59938e-06 0.0572883 7.92795e-07 0.0679692 1.36016 1.06158 4.00136e-07 154368 709.228
51000 0.00120182 1.25577e-07 1.61525e-06 0.058077 7.99798e-07 0.0686147 1.37646 1.04403 6.33962e-07 156731 718.911
52000 0.00121589 1.26816e-07 1.63096e-06 0.0588531 8.06734e-07 0.0692539 1.39264 1.02701 9.84121e-07 159092 728.44
53000 0.00122986 1.28043e-07 1.64651e-06 0.0596171 8.13603e-07 0.0698869 1.4087 1.0105 1.49872e-06 161451 737.823
54000 0.00124373 1.29258e-07 1.66193e-06 0.0603696 8.20407e-07 0.0705139 1.42464 0.994456 2.24174e-06 163810 747.064
55000 0.0012575 1.30462e-07 1.6772e-06 0.0611109 8.2715e-07 0.0711352 1.44048 0.978872 3.29698e-06 166168 756.17
56000 0.00127118 1.31656e-07 1.69233e-06 0.0618416 8.33833e-07 0.0717508 1.4562 0.963721 4.77248e-06 168525 765.146
57000 0.00128477 1.32838e-07 1.70733e-06 0.0625621 8.40456e-07 0.072361 1.47182 0.948983 6.80564e-06 170883 773.997
58000 0.00129827 1.34011e-07 1.7222e-06 0.0632726 8.47022e-07 0.0729659 1.48734 0.934641 9.56884e-06 173241 782.728
59000 0.00131168 1.35173e-07 1.73694e-06 0.0639738 8.53532e-07 0.0735657 1.50275 0.920677 1.32757e-05 175600 791.343
60000 0.001325 1.36326e-07 1.75155e-06 0.0646658 8.59988e-07 0.0741605 1.51807 0.907074 1.81878e-05 177959 799.847
61000 0.00133824 1.37469e-07 1.76605e-06 0.065349 8.6639e-07 0.0747505 1.53329 0.893816 2.46219e-05 180320 808.245
62000 0.0013514 1.38602e-07 1.78042e-06 0.0660238 8.7274e-07 0.0753358 1.54841 0.880891 3.29576e-05 182682 816.539
63000 0.00136447 1.39727e-07 1.79468e-06 0.0666904 8.7904e-07 0.0759165 1.56344 0.868283 4.36454e-05 185045 824.735
64000 0.00137747 1.40843e-07 1.80883e-06 0.0673493 8.85291e-07 0.0764927 1.57838 0.855981 5.72145e-05 187411 832.834
65000 0.00139039 1.4195e-07 1.82287e-06 0.0680005 8.91493e-07 0.0770646 1.59323 0.843972 7.42816e-05 189779 840.842
66000 0.00140323 1.43048e-07 1.8368e-06 0.0686445 8.97648e-07 0.0776323 1.60799 0.832245 9.55588e-05 192148 848.761
67000 0.001416 1.44139e-07 1.85063e-06 0.0692815 9.03758e-07 0.0781959 1.62267 0.82079 0.000121862 194521 856.594
68000 0.00142869 1.45221e-07 1.86435e-06 0.0699116 9.09823e-07 0.0787555 1.63726 0.809595 0.00015412 196896 864.344
69000 0.00144131 1.46295e-07 1.87798e-06 0.0705353 9.15844e-07 0.0793112 1.65177 0.798652 0.000193378 199274 872.014
70000 0.00145387 1.47362e-07 1.8915e-06 0.0711526 9.21821e-07 0.0798632 1.6662 0.787952 0.000240812 201654 879.607
71000 0.00146635 1.48421e-07 1.90494e-06 0.0717637 9.27757e-07 0.0804115 1.68054 0.777486 0.000297727 204038 887.126
72000 0.00147876 1.49473e-07 1.91827e-06 0.072369 9.33652e-07 0.0809561 1.69482 0.767245 0.000365571 206426 894.573
73000 0.00149111 1.50518e-07 1.93152e-06 0.0729686 9.39507e-07 0.0814973 1.70901 0.757223 0.000445933 208816 901.949
74000 0.0015034 1.51555e-07 1.94468e-06 0.0735626 9.45323e-07 0.0820351 1.72313 0.747411 0.000540553 211211 909.259
75000 0.00151562 1.52586e-07 1.95775e-06 0.0741513 9.511e-07 0.0825696 1.73717 0.737803 0.000651322 213609 916.503
76000 0.00152777 1.5361e-07 1.97073e-06 0.0747348 9.5684e-07 0.0831008 1.75115 0.728393 0.000780284 216010 923.683
77000 0.00153986 1.54627e-07 1.98363e-06 0.0753133 9.62543e-07 0.0836289 1.76505 0.719173 0.00092964 218416 930.803
78000 0.0015519 1.55638e-07 1.99645e-06 0.0758869 9.6821e-07 0.0841539 1.77888 0.710137 0.00110175 220826 937.863
79000 0.00156387 1.56642e-07 2.00918e-06 0.0764558 9.73842e-07 0.0846759 1.79264 0.701281 0.00129912 223240 944.866
80000 0.00157578 1.57641e-07 2.02184e-06 0.0770202 9.7944e-07 0.085195 1.80633 0.692598 0.00152441 225658 951.813
81000 0.00158763 1.58633e-07 2.03443e-06 0.0775801 9.85004e-07 0.0857113 1.81996 0.684083 0.00178045 228080 958.705
82000 0.00159943 1.59619e-07 2.04693e-06 0.0781358 9.90535e-07 0.0862248 1.83351 0.675732 0.00207019 230507 965.546
83000 0.00161117 1.606e-07 2.05937e-06 0.0786872 9.96033e-07 0.0867355 1.84701 0.667539 0.00239674 232938 972.335
84000 0.00162285 1.61575e-07 2.07173e-06 0.0792347 1.0015e-06 0.0872436 1.86044 0.6595 0.00276332 235373 979.076
85000 0.00163448 1.62544e-07 2.08402e-06 0.0797782 1.00694e-06 0.0877492 1.87381 0.65161 0.0031733 237813 985.768
86000 0.00164606 1.63508e-07 2.09624e-06 0.0803179 1.01234e-06 0.0882522 1.88711 0.643865 0.00363017 240258 992.414
87000 0.00165758 1.64467e-07 2.1084e-06 0.0808539 1.01772e-06 0.0887528 1.90036 0.636262 0.00413752 242707 999.014
88000 0.00166905 1.6542e-07 2.12048e-06 0.0813863 1.02307e-06 0.0892509 1.91354 0.628795 0.00469903 245161 1005.57
89000 0.00168047 1.66368e-07 2.13251e-06 0.0819152 1.02839e-06 0.0897468 1.92666 0.621463 0.00531851 247619 1012.08
90000 0.00169183 1.67311e-07 2.14447e-06 0.0824408 1.03368e-06 0.0902403 1.93973 0.61426 0.00599981 250082 1018.56
91000 0.00170315 1.6825e-07 2.15637e-06 0.082963 1.03894e-06 0.0907316 1.95273 0.607184 0.00674687 252550 1024.99
92000 0.00171442 1.69184e-07 2.16821e-06 0.083482 1.04418e-06 0.0912208 1.96568 0.600232 0.00756368 255022 1031.38
93000 0.00172563 1.70113e-07 2.17999e-06 0.0839979 1.04939e-06 0.0917078 1.97858 0.593399 0.00845428 257500 1037.74
94000 0.0017368 1.71037e-07 2.19171e-06 0.0845108 1.05458e-06 0.0921928 1.99141 0.586683 0.00942274 259981 1044.05
95000 0.00174792 1.71957e-07 2.20338e-06 0.0850207 1.05974e-06 0.0926757 2.0042 0.580082 0.0104732 262468 1050.33
96000 0.001759 1.72873e-07 2.21499e-06 0.0855277 1.06488e-06 0.0931567 2.01692 0.573592 0.0116096 264959 1056.58
97000 0.00177002 1.73784e-07 2.22655e-06 0.086032 1.07e-06 0.0936357 2.0296 0.567211 0.0128363 267455 1062.79
98000 0.001781 1.74692e-07 2.23806e-06 0.0865335 1.07509e-06 0.0941128 2.04222 0.560935 0.0141571 269955 1068.97
99000 0.00179194 1.75595e-07 2.24951e-06 0.0870323 1.08016e-06 0.0945882 2.05479 0.554763 0.0155763 272460 1075.12
100000 0.00180283 1.76495e-07 2.26091e-06 0.0875286 1.08521e-06 0.0950617 2.06731 0.548692 0.0170978 274969 1081.23
101000 0.00181368 1.7739e-07 2.27227e-06 0.0880224 1.09023e-06 0.0955335 2.07977 0.542719 0.0187256 277483 1087.31
102000 0.00182448 1.78282e-07 2.28358e-06 0.0885137 1.09524e-06 0.0960036 2.09219 0.536843 0.0204635 280001 1093.37
103000 0.00183524 1.7917e-07 2.29484e-06 0.0890026 1.10022e-06 0.096472 2.10456 0.531061 0.0223155 282523 1099.39
104000 0.00184595 1.80055e-07 2.30606e-06 0.0894892 1.10519e-06 0.0969388 2.11687 0.525371 0.0242853 285049 1105.39
105000 0.00185663 1.80936e-07 2.31723e-06 0.0899736 1.11013e-06 0.097404 2.12914 0.519771 0.0263765 287580 1111.36
106000 0.00186726 1.81814e-07 2.32837e-06 0.0904557 1.11506e-06 0.0978676 2.14136 0.514259 0.0285926 290115 1117.3
107000 0.00187785 1.82688e-07 2.33946e-06 0.0909357 1.11997e-06 0.0983298 2.15354 0.508833 0.0309373 292654 1123.21
108000 0.0018884 1.8356e-07 2.35051e-06 0.0914136 1.12486e-06 0.0987905 2.16566 0.503492 0.0334137 295197 1129.1
