time vel_channel vel_finger vel_lid reacted flux_finger_advection flux_finger_diffusion flux_inlet_advection flux_inlet_diffusion flux_outlet_advection mass_total mass_finger
100 4.0327e-05 4.43675e-08 9.50271e-08 0 0 0 0 0 0 1147 0
200 5.7636e-05 1.76063e-08 1.36515e-07 0 0 0 0 0 0 1147 0
300 7.10511e-05 1.68786e-08 1.67325e-07 0 0 0 0 0 0 1147 0
400 8.2459e-05 1.55215e-08 1.92002e-07 0 0 0 0 0 0 1147 0
500 9.25862e-05 1.28154e-08 2.1366e-07 0 0 0 0 0 0 1147 0
600 0.000101804 1.45809e-08 2.3364e-07 0 0 0 0 0 0 1147 0
700 0.000110334 1.43544e-08 2.52223e-07 0 0 0 0 0 0 1147 0
800 0.000118318 1.55942e-08 2.69504e-07 0 0 0 0 0 0 1147 0
900 0.000125857 1.62987e-08 2.85681e-07 0 0 0 0 0 0 1147 0
1000 0.000133022 1.71125e-08 3.00967e-07 0 0 0 0 0 0 1147 0
1100 0.00013987 1.79707e-08 3.15517e-07 0 0 0 0 0 0 1147 0
1200 0.000146441 1.87522e-08 3.29427e-07 0 0 0 0 0 0 1147 0
1300 0.000152771 1.95632e-08 3.42769e-07 0 0 0 0 0 0 1147 0
1400 0.000158886 2.03217e-08 3.55606e-07 0 0 0 0 0 0 1147 0
1500 0.000164809 2.10692e-08 3.67993e-07 0 0 0 0 0 0 1147 0
1600 0.000170558 2.17907e-08 3.79974e-07 0 0 0 0 0 0 1147 0
1700 0.000176151 2.24915e-08 3.91587e-07 0 0 0 0 0 0 1147 0
1800 0.0001816 2.31746e-08 4.02863e-07 0 0 0 0 0 0 1147 0
1900 0.000186917 2.38392e-08 4.13829e-07 0 0 0 0 0 0 1147 0
2000 0.000192112 2.44878e-08 4.24511e-07 0 0 0 0 0 0 1147 0
2100 0.000197195 2.51209e-08 4.34929e-07 0 0 0 0 0 0 1147 0
2200 0.000202173 2.57396e-08 4.45102e-07 0 0 0 0 0 0 1147 0
2300 0.000207053 2.6345e-08 4.55047e-07 0 0 0 0 0 0 1147 0
2400 0.000211842 2.69377e-08 4.64777e-07 0 0 0 0 0 0 1147 0
2500 0.000216546 2.75185e-08 4.74307e-07 0 0 0 0 0 0 1147 0
2600 0.000221168 2.80881e-08 4.83649e-07 0 0 0 0 0 0 1147 0
2700 0.000225715 2.86472e-08 4.92812e-07 0 0 0 0 0 0 1147 0
2800 0.000230189 2.91963e-08 5.01807e-07 0 0 0 0 0 0 1147 0
2900 0.000234595 2.97358e-08 5.10643e-07 0 0 0 0 0 0 1147 0
3000 0.000238937 3.02664e-08 5.19328e-07 0 0 0 0 0 0 1147 0
3100 0.000243217 3.07883e-08 5.27869e-07 0 0 0 0 0 0 1147 0
3200 0.000247439 3.13021e-08 5.36274e-07 0 0 0 0 0 0 1147 0
3300 0.000251604 3.18081e-08 5.44548e-07 0 0 0 0 0 0 1147 0
3400 0.000255717 3.23066e-08 5.52698e-07 0 0 0 0 0 0 1147 0
3500 0.000259778 3.2798e-08 5.60729e-07 0 0 0 0 0 0 1147 0
3600 0.000263791 3.32825e-08 5.68646e-07 0 0 0 0 0 0 1147 0
3700 0.000267756 3.37605e-08 5.76454e-07 0 0 0 0 0 0 1147 0
3800 0.000271677 3.42321e-08 5.84157e-07 0 0 0 0 0 0 1147 0
3900 0.000275554 3.46977e-08 5.91759e-07 0 0 0 0 0 0 1147 0
4000 0.000279389 3.51575e-08 5.99265e-07 0 0 0 0 0 0 1147 0
4100 0.000283185 3.56116e-08 6.06677e-07 0 0 0 0 0 0 1147 0
4200 0.000286942 3.60604e-08 6.13999e-07 0 0 0 0 0 0 1147 0
4300 0.000290661 3.65038e-08 6.21235e-07 0 0 0 0 0 0 1147 0
4400 0.000294345 3.69423e-08 6.28387e-07 0 0 0 0 0 0 1147 0
4500 0.000297994 3.73758e-08 6.35459e-07 0 0 0 0 0 0 1147 0
4600 0.000301609 3.78046e-08 6.42452e-07 0 0 0 0 0 0 1147 0
4700 0.000305192 3.82289e-08 6.49369e-07 0 0 0 0 0 0 1147 0
4800 0.000308743 3.86487e-08 6.56214e-07 0 0 0 0 0 0 1147 0
4900 0.000312263 3.90643e-08 6.62987e-07 0 0 0 0 0 0 1147 0
5000 0.000315754 3.94756e-08 6.69692e-07 0 0 0 0 0 0 1147 0
5100 0.000319216 3.9883e-08 6.7633e-07 2.04118e-05 2.80536e-08 0.00331585 0.318866 28.5744 0 6406.84 0.13782
5200 0.000322649 4.02864e-08 6.82903e-07 0.000161118 1.62018e-07 0.0146426 0.337292 20.4945 0 8872.24 1.36228
5300 0.000326056 4.0686e-08 6.89413e-07 0.000385153 3.12991e-07 0.0251125 0.347583 16.7959 0 10772.1 3.82289
5400 0.000329437 4.10819e-08 6.95863e-07 0.000657972 4.39676e-07 0.0333692 0.355234 14.5644 0 12378.5 7.21943
5500 0.000332791 4.14742e-08 7.02252e-07 0.000969804 5.37494e-07 0.0397697 0.361636 13.0321 0 13797.2 11.3022
5600 0.000336121 4.1863e-08 7.08584e-07 0.00131512 6.10956e-07 0.0447599 0.367324 11.8967 0 15082.6 15.8905
5700 0.000339426 4.22484e-08 7.1486e-07 0.0016885 6.65709e-07 0.0486967 0.372557 11.0121 0 16267.1 20.8542
5800 0.000342708 4.26305e-08 7.21081e-07 0.00208482 7.06587e-07 0.0518466 0.377473 10.2978 0 17371.7 26.0993
