time vel_channel vel_finger vel_lid reacted flux_finger_advection flux_finger_diffusion flux_inlet_advection flux_inlet_diffusion flux_outlet_advection mass_total mass_finger
1000 0.000133025 5.23097e-08 2.47735e-07 0 0 0 0 0 0 1147 0
2000 0.000192119 6.43647e-08 3.4904e-07 0 0 0 0 0 0 1147 0
3000 0.000238947 7.75198e-08 4.27492e-07 0 0 0 0 0 0 1147 0
4000 0.000279403 9.00811e-08 4.93852e-07 0 0 0 0 0 0 1147 0
5000 0.000315771 1.01462e-07 5.52407e-07 0 0 0 0 0 0 1147 0
6000 0.000349224 1.11844e-07 6.05392e-07 0.000282144 5.86985e-07 0.0116292 0.386694 9.18601 0 19390.3 4.07691
7000 0.000380458 1.21432e-07 6.54146e-07 0.00127928 1.89638e-06 0.0291915 0.426704 6.44795 6.14586e-206 27389 26.0075
8000 0.00040993 1.3038e-07 6.99543e-07 0.00266589 2.81449e-06 0.0403819 0.462269 5.2296 1.99704e-138 33611.4 60.9786
9000 0.000437955 1.388e-07 7.42193e-07 0.00430565 3.38667e-06 0.0474786 0.495429 4.50141 5.79181e-104 38926.8 103.141
10000 0.000464765 1.46777e-07 7.82541e-07 0.00609717 3.75401e-06 0.0522437 0.526857 4.00316 5.64895e-83 43670.9 149.15
11000 0.000490534 1.54373e-07 8.20923e-07 0.00797336 4.00691e-06 0.0556716 0.556908 3.63427 7.45483e-69 48015.4 197.143
12000 0.000515397 1.61639e-07 8.57602e-07 0.00989285 4.19614e-06 0.0583137 0.585807 3.34664 1.03427e-58 52062 246.059
13000 0.000539463 1.68614e-07 8.92786e-07 0.0118304 4.34943e-06 0.0604784 0.613716 3.11395 4.44271e-51 55876.3 295.288
14000 0.000562819 1.75329e-07 9.26644e-07 0.0137703 4.48185e-06 0.0623414 0.64076 2.92049 3.95718e-45 59504.2 344.462
15000 0.000585538 1.81813e-07 9.59316e-07 0.0157026 4.60158e-06 0.0640044 0.667034 2.75619 2.31021e-40 62978.5 393.358
16000 0.00060768 1.88087e-07 9.90918e-07 0.0176211 4.71312e-06 0.0655281 0.692618 2.61427 1.8471e-36 66324.1 441.835
17000 0.000629296 1.94171e-07 1.02155e-06 0.0195215 4.81895e-06 0.0669495 0.717577 2.48998 3.3133e-33 69560.4 489.802
18000 0.000650432 2.0008e-07 1.05129e-06 0.0214009 4.92051e-06 0.0682924 0.741965 2.37987 1.87882e-30 72702.4 537.195
19000 0.000671123 2.0583e-07 1.08022e-06 0.0232574 5.01867e-06 0.0695723 0.765831 2.28138 4.30548e-28 75762.7 583.976
20000 0.000691405 2.11432e-07 1.1084e-06 0.0250897 5.11395e-06 0.0708002 0.789213 2.19255 4.77582e-26 78751.2 630.115
21000 0.000711304 2.16897e-07 1.13588e-06 0.0268968 5.2067e-06 0.0719839 0.812148 2.11186 2.93661e-24 81676.4 675.593
22000 0.000730848 2.22235e-07 1.16272e-06 0.0286782 5.29717e-06 0.0731293 0.834666 2.03811 1.11046e-22 84545.4 720.4
23000 0.000750059 2.27455e-07 1.18896e-06 0.0304335 5.38555e-06 0.074241 0.856795 1.97033 2.79974e-21 87364.4 764.528
24000 0.000768956 2.32563e-07 1.21463e-06 0.0321627 5.47202e-06 0.0753226 0.87856 1.90774 5.01685e-20 90138.4 807.973
25000 0.00078756 2.37567e-07 1.23977e-06 0.0338656 5.55669e-06 0.0763772 0.89998 1.84968 6.7243e-19 92872 850.737
26000 0.000805885 2.42473e-07 1.26442e-06 0.0355424 5.63966e-06 0.0774073 0.921078 1.79562 7.0267e-18 95569.2 892.822
27000 0.000823947 2.47286e-07 1.28859e-06 0.0371932 5.72104e-06 0.0784151 0.941869 1.7451 5.92198e-17 98233.4 934.233
28000 0.00084176 2.52012e-07 1.31233e-06 0.0388183 5.80093e-06 0.0794024 0.96237 1.69775 4.13961e-16 100868 974.974
29000 0.000859336 2.56654e-07 1.33564e-06 0.0404179 5.87942e-06 0.0803708 0.982597 1.65324 2.45682e-15 103475 1015.05
30000 0.000876686 2.61218e-07 1.35856e-06 0.0419924 5.95655e-06 0.0813218 1.00256 1.61129 1.2625e-14 106058 1054.48
31000 0.00089382 2.65707e-07 1.38109e-06 0.0435421 6.03239e-06 0.0822565 1.02228 1.57164 5.71139e-14 108618 1093.27
32000 0.000910749 2.70125e-07 1.40327e-06 0.0450673 6.10703e-06 0.083176 1.04175 1.5341 2.30704e-13 111157 1131.42
33000 0.000927481 2.74475e-07 1.4251e-06 0.0465686 6.18051e-06 0.0840814 1.061 1.49848 8.42244e-13 113678 1168.95
34000 0.000944024 2.78759e-07 1.44661e-06 0.0480462 6.25289e-06 0.0849734 1.08003 1.46461 2.80823e-12 116182 1205.86
35000 0.000960386 2.82982e-07 1.4678e-06 0.0495006 6.3242e-06 0.085853 1.09885 1.43235 8.62936e-12 118670 1242.18
36000 0.000976574 2.87145e-07 1.48869e-06 0.0509323 6.3945e-06 0.0867207 1.11747 1.40157 2.46322e-11 121144 1277.91
37000 0.000992595 2.91251e-07 1.50929e-06 0.0523416 6.46383e-06 0.0875771 1.1359 1.37217 6.57672e-11 123605 1313.06
38000 0.00100845 2.95302e-07 1.52962e-06 0.053729 6.53224e-06 0.088423 1.15413 1.34403 1.65247e-10 126054 1347.64
39000 0.00102416 2.993e-07 1.54968e-06 0.055095 6.59975e-06 0.0892587 1.17219 1.31707 3.92831e-10 128493 1381.67
40000 0.00103971 3.03248e-07 1.56948e-06 0.0564399 6.66639e-06 0.0900848 1.19008 1.29121 8.8774e-10 130921 1415.16
41000 0.00105512 3.07147e-07 1.58904e-06 0.0577642 6.73221e-06 0.0909017 1.2078 1.26636 1.91517e-09 133341 1448.12
42000 0.00107039 3.10999e-07 1.60837e-06 0.0590684 6.79724e-06 0.0917099 1.22536 1.24247 3.95919e-09 135753 1480.56
