time vel_channel vel_finger vel_lid reacted flux_finger_advection flux_finger_diffusion flux_inlet_advection flux_inlet_diffusion flux_outlet_advection mass_total mass_finger
100 4.03272e-05 4.45228e-08 2.95309e-07 0 0 0 0 0 0 1147 0
200 5.76365e-05 1.75277e-08 4.38164e-07 0 0 0 0 0 0 1147 0
300 7.10519e-05 1.72244e-08 5.49338e-07 0 0 0 0 0 0 1147 0
400 8.24601e-05 1.58054e-08 6.44181e-07 0 0 0 0 0 0 1147 0
500 9.25875e-05 1.31651e-08 7.26748e-07 0 0 0 0 0 0 1147 0
600 0.000101806 1.49684e-08 8.00151e-07 0 0 0 0 0 0 1147 0
700 0.000110336 1.47711e-08 8.67198e-07 0 0 0 0 0 0 1147 0
800 0.00011832 1.60674e-08 9.29601e-07 0 0 0 0 0 0 1147 0
900 0.000125859 1.68012e-08 9.88195e-07 0 0 0 0 0 0 1147 0
1000 0.000133025 1.76636e-08 1.04352e-06 0 0 0 0 0 0 1147 0
1100 0.000139873 1.85639e-08 1.09606e-06 0 0 0 0 0 0 1147 0
1200 0.000146445 1.93862e-08 1.1462e-06 0 0 0 0 0 0 1147 0
1300 0.000152774 2.0237e-08 1.19426e-06 0 0 0 0 0 0 1147 0
1400 0.00015889 2.10336e-08 1.24049e-06 0 0 0 0 0 0 1147 0
1500 0.000164813 2.1819e-08 1.28507e-06 0 0 0 0 0 0 1147 0
1600 0.000170563 2.2577e-08 1.32816e-06 0 0 0 0 0 0 1147 0
1700 0.000176155 2.33135e-08 1.3699e-06 0 0 0 0 0 0 1147 0
1800 0.000181604 2.40313e-08 1.41043e-06 0 0 0 0 0 0 1147 0
1900 0.000186922 2.47297e-08 1.44983e-06 0 0 0 0 0 0 1147 0
2000 0.000192117 2.54114e-08 1.48819e-06 0 0 0 0 0 0 1147 0
2100 0.0001972 2.60767e-08 1.5256e-06 0 0 0 0 0 0 1147 0
2200 0.000202179 2.6727e-08 1.56212e-06 0 0 0 0 0 0 1147 0
2300 0.00020706 2.73631e-08 1.59781e-06 0 0 0 0 0 0 1147 0
2400 0.000211849 2.7986e-08 1.63273e-06 0 0 0 0 0 0 1147 0
2500 0.000216552 2.85964e-08 1.66692e-06 0 0 0 0 0 0 1147 0
2600 0.000221175 2.91951e-08 1.70042e-06 0 0 0 0 0 0 1147 0
2700 0.000225722 2.97826e-08 1.73329e-06 0 0 0 0 0 0 1147 0
2800 0.000230197 3.03596e-08 1.76554e-06 0 0 0 0 0 0 1147 0
